DUA;Item;Fecha;AÒo;Importador;RUC;Regimen;CÛdigo NCM;Aduana;VÌa Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;PaÌs de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;Kgs. Brutos;Proveedor;Marca;DescripciÛn de MercaderÌa;DescripciÛn para Filtro
118-000937;0001;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201215112;CARTAGENA;Colombia;Colombia;27000;KG;27000;KILOGRAMO;0.18;BUL;33391.56;1.24;33750;1.25;350;27000;27514.89;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, I. 06C30DA EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I. 06C30DA;COPOLIMERO, ESENTTIA, I. 06C30DA EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I. 06C30DA
118-001029;0001;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201202977;CARTAGENA;Colombia;Colombia;13500;KG;13500;KILOGRAMO;0.18;BUL;16695.78;1.24;16874.99;1.25;175;13500;13757.45;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, I. 01C25 EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I. 01C25;COPOLIMERO, ESENTTIA, I. 01C25 EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I. 01C25
118-001029;0002;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201202977;CARTAGENA;Colombia;Colombia;13500;KG;13500;KILOGRAMO;0;BUL;16560.82;1.23;16740;1.24;175;13500;13757.45;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, S/M EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I.25C75N;COPOLIMERO, ESENTTIA, S/M EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I.25C75N
118-001030;0001;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201204208;CARTAGENA;Colombia;Colombia;27000;KG;27000;KILOGRAMO;0.18;BUL;33391.56;1.24;33750;1.25;350;27000;27514.89;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, I. 01C25 EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I. 01C25;COPOLIMERO, ESENTTIA, I. 01C25 EN BOLSAS DE 25 KILOS USO INDUSTRIAL COPOLIMERO I. 01C25
118-001033;0001;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201201941;CARTAGENA;Colombia;Colombia;13500;KG;13500;KILOGRAMO;0.18;BUL;17775.51;1.32;17955;1.33;175;13500;13757.45;ESENTTIA S A;ESENTTIA;COPOLIMERO , ESENTTIA , R. 01R25 EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO R. 01R25;COPOLIMERO , ESENTTIA , R. 01R25 EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO R. 01R25
118-001033;0002;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201201941;CARTAGENA;Colombia;Colombia;13500;KG;13500;KILOGRAMO;0;BUL;16695.78;1.24;16874.99;1.25;175;13500;13757.45;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, I. 06C30DA EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO I. 06C30DA;COPOLIMERO, ESENTTIA, I. 06C30DA EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO I. 06C30DA
118-001258;0001;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201202023;CARTAGENA;Colombia;Colombia;17000;KG;17000;KILOGRAMO;0.18;BUL;21024.32;1.24;21250;1.25;220.37;17000;17324.19;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, I. 16C12NA EN BOLSAS DE 25 KILOS USO:USO INDUSTRIAL COPOLIMERO I. 16C12NA;COPOLIMERO, ESENTTIA, I. 16C12NA EN BOLSAS DE 25 KILOS USO:USO INDUSTRIAL COPOLIMERO I. 16C12NA
118-001258;0002;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201202023;CARTAGENA;Colombia;Colombia;5000;KG;5000;KILOGRAMO;0;BUL;6133.64;1.23;6200;1.24;64.81;5000;5095.35;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, S/M EN BOLSAS DE 25 KILOS USO:USO INDUSTRIAL COPOLIMERO I. 05C06T-B;COPOLIMERO, ESENTTIA, S/M EN BOLSAS DE 25 KILOS USO:USO INDUSTRIAL COPOLIMERO I. 05C06T-B
118-001258;0003;04/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201202023;CARTAGENA;Colombia;Colombia;5000;KG;5000;KILOGRAMO;0;BUL;6133.64;1.23;6200;1.24;64.81;5000;5095.35;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, I. 05C05 EN BOLSAS DE 25 KILOS USO:USO INDUSTRIAL COPOLIMERO I. 05C05;COPOLIMERO, ESENTTIA, I. 05C05 EN BOLSAS DE 25 KILOS USO:USO INDUSTRIAL COPOLIMERO I. 05C05
118-001405;0002;05/01/2021;2021;QUELARIS PERU S.A.C.;4  20519001463;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02978-20;HLCURI4201101088;RIO GRANDE;Brasil;Panam·;2724;KG;2724;KILOGRAMO;0;PAL;10612.92;3.9;11028.66;4.05;283.08;2724;2966.45;ARLANXEO BRASIL S.A.;KELTAN;COPOLIMERO ETILENO PROPILENO, KELTAN, 0500R BATCH: 20308R4222, 20308R4223, 20308R4224  KELTAN 0500R;COPOLIMERO ETILENO PROPILENO, KELTAN, 0500R BATCH: 20308R4222, 20308R4223, 20308R4224  KELTAN 0500R
118-001405;0004;05/01/2021;2021;QUELARIS PERU S.A.C.;4  20519001463;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02978-20;HLCURI4201101088;RIO GRANDE;Brasil;Panam·;12600;KG;12600;KILOGRAMO;0;PAL;32080.59;2.55;33791;2.68;1309.4;12600;13721.48;ARLANXEO BRASIL S.A.;KELTAN;COPOLIMERO ETILENO PROPILENO, KELTAN, 3050 BATCH: 20291P4105, 20291P4106  KELTAN 3050;COPOLIMERO ETILENO PROPILENO, KELTAN, 3050 BATCH: 20291P4105, 20291P4106  KELTAN 3050
118-001981;0002;05/01/2021;2021;MOVA INDUSTRIAL S.A.C.;4  20510843496;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201204230;CARTAGENA;Colombia;Colombia;6000;KG;6000;KILOGRAMO;0;BUL;8879.86;1.48;8968.84;1.49;77.77;6000;6114.42;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, 02R01CA-1 COPOLIMERO R. 02R01CA-1 BOLSAS DE 25 KG INDUSTRIAL COPOLIMERO POLIMERO,CODIGO / SERIE : 220N6216A // LOT. NO. 220N6216A;COPOLIMERO, ESENTTIA, 02R01CA-1 COPOLIMERO R. 02R01CA-1 BOLSAS DE 25 KG INDUSTRIAL COPOLIMERO POLIMERO,CODIGO / SERIE : 220N6216A // LOT. NO. 220N6216A
118-001981;0003;05/01/2021;2021;MOVA INDUSTRIAL S.A.C.;4  20510843496;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201204230;CARTAGENA;Colombia;Colombia;4000;KG;4000;KILOGRAMO;0;BUL;5919.91;1.48;5979.23;1.49;51.85;4000;4076.28;ESENTTIA S A;ESENTTIA;COPOLIMERO, ESENTTIA, 10R10C COPOLIMERO R. 10R10C BOLSAS DE 25 KG INDUSTRIAL COPOLIMERO POLIMERO,CODIGO / SERIE : 220D6229A // LOT. NO. 220D6229A;COPOLIMERO, ESENTTIA, 10R10C COPOLIMERO R. 10R10C BOLSAS DE 25 KG INDUSTRIAL COPOLIMERO POLIMERO,CODIGO / SERIE : 220D6229A // LOT. NO. 220D6229A
118-002466;0001;05/01/2021;2021;DISPERCOL S A;4  20100064490;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;02939-20;HLCUSEL201070475;KRZZA;Corea del Sur;Estados Unidos;22;TM;22000;KILOGRAMO;8.8;BUL;27296.44;1240.75;29945.27;1361.15;2644.34;22000;22088;LOTTE CHEMICAL CORPORATION;LOTTE;RESINA PLASTICA, LOTTE, S/M BOLSAS X 25KG USO INDUSTRIAL COPOLIMERO DE POLIPROPILENO SFC750R;RESINA PLASTICA, LOTTE, S/M BOLSAS X 25KG USO INDUSTRIAL COPOLIMERO DE POLIPROPILENO SFC750R
118-004090;0001;06/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;No disponible;00000-21;MEDUC1092591;CARTAGENA;Colombia;Colombia;13500;KG;13500;KILOGRAMO;0.18;BUL;16695.78;1.24;16887.5;1.25;187.5;13500;13757.45;No disponible;ESENTTIA;COPOLIMERO, ESENTTIA, R.03R45C EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO R.03R45C;COPOLIMERO, ESENTTIA, R.03R45C EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO R.03R45C
118-004090;0002;06/01/2021;2021;ESENTTIA RESINAS DEL PERU S.A.C;4  20601762073;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;No disponible;00000-21;MEDUC1092591;CARTAGENA;Colombia;Colombia;13500;KG;13500;KILOGRAMO;0;BUL;16290.88;1.21;16482.49;1.22;187.5;13500;13757.45;No disponible;ESENTTIA;COPOLIMERO, ESENTTIA, I. 01C25 EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO I. 01C25;COPOLIMERO, ESENTTIA, I. 01C25 EN BOLSAS DE 25 KILOS USO: INDUSTRIAL COPOLIMERO I. 01C25
118-004452;0001;06/01/2021;2021;PERUANA DE MOLDEADOS S.A.C.;4  20251995967;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201204252;CARTAGENA;Colombia;Colombia;27000;KG;27000;KILOGRAMO;0.18;BUL;34480;1.28;34885.73;1.29;350;27000;27514.89;ESENTTIA S A;ESENTTIA;Polipropileno copol√≠mero de impacto, ESENTTIA, 01C25 COPOLIMERO I. 01C25 BOLSAS 25 KG PARA USO INDUSTRIAL Polipropileno copol√≠mero de impacto LOTE:120D1865B- LOTE:120D1866A,Materia prima para fabricaci√≥n de envases;Polipropileno copol√≠mero de impacto, ESENTTIA, 01C25 COPOLIMERO I. 01C25 BOLSAS 25 KG PARA USO INDUSTRIAL Polipropileno copol√≠mero de impacto LOTE:120D1865B- LOTE:120D1866A,Materia prima para fabricac
118-004954;0001;07/01/2021;2021;IBEROAMERICANA DE PLASTICOS SAC;4  20508061201;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201219750;CARTAGENA;Colombia;Colombia;54000;KG;54000;KILOGRAMO;0.36;PAL;71336;1.32;72069.57;1.33;700;54000;55029.78;ESENTTIA S A;S/M;POLIPROPILENO COPOLIMERO, S/M, S/M BOLSAS DE 25KG USO INDUSTRIAL COPOLIMERO I. 06C30DA POLIPROPILENO;POLIPROPILENO COPOLIMERO, S/M, S/M BOLSAS DE 25KG USO INDUSTRIAL COPOLIMERO I. 06C30DA POLIPROPILENO
118-005393;0001;07/01/2021;2021;IBEROAMERICANA DE PLASTICOS SAC;4  20508061201;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;COSCO SHIPPING LINES (PER;02907-20;HLCUBO2201233416;CARTAGENA;Colombia;Colombia;54000;KG;54000;KILOGRAMO;0.36;PAL;70636;1.31;71369.57;1.32;700;54000;55029.78;ESENTTIA S A;S/M;POLIPROPILENO COPOLIMERO, S/M, S/M BOLSAS DE 25KG USO INDUSTRIAL COPOLIMERO I. 06C30DA POLIPROPILENO;POLIPROPILENO COPOLIMERO, S/M, S/M BOLSAS DE 25KG USO INDUSTRIAL COPOLIMERO I. 06C30DA POLIPROPILENO
118-006224;0001;07/01/2021;2021;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;No disponible;00000-21;MAEU206355193;JEBEL ALI;Emiratos ¡rabes Unidos;Austria;74.25;TM;74250;KILOGRAMO;29.7;BUL;78802.5;1061.31;85277.53;1148.52;5490;74250;76032;No disponible;BOREALIS;COPOLIMERO DE POLIPROPILENO, BOREALIS, BH975MO REF: 2800173743 SON : 2970 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BH975MO BOROUGE BAG POLYPROPYLENE COPOLYMER;COPOLIMERO DE POLIPROPILENO, BOREALIS, BH975MO REF: 2800173743 SON : 2970 SACOS DE 25KG CADA UNO / USO : INDUSTRIAL BH975MO BOROUGE BAG POLYPROPYLENE COPOLYMER
118-008865;0001;09/01/2021;2021;XIMESA S.A.C.;4  20125508716;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;No disponible;00000-21;132433;MIAMI;Corea del Sur;China;20;TM;20295.42;KILOGRAMO;7.2;BUL;125000;6250;127625;6381.25;2500;20295.42;21363.6;No disponible;LG CHEM;POLIPROPILENO COPOLIMERO, LG CHEM, M1650 EN BOLSAS DE 25 KG PP M1650 POLIPROPILENO COPOLIMERO;POLIPROPILENO COPOLIMERO, LG CHEM, M1650 EN BOLSAS DE 25 KG PP M1650 POLIPROPILENO COPOLIMERO
118-008926;0003;11/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02955-20;SMLU6396921A;MANZANILLO;Estados Unidos;Estados Unidos;41336.25;LB;18750;KILOGRAMO;7.5;SAC;21200.04;0.51;23415.88;0.57;2200;18750;18750;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 750  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-008926;0004;11/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02955-20;SMLU6396921A;MANZANILLO;Estados Unidos;Estados Unidos;4795;LB;2175;KILOGRAMO;0.87;SAC;2459.2;0.51;2716.23;0.57;255.2;2175;2175;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 87  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 87  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
118-008926;0005;11/01/2021;2021;INTRADEVCO INDUSTRIAL S.A.;4  20417378911;IMPORTACION DEFINITIVA;39023000;MARITIMA DEL CALLAO;MARITIMO;CITIKOLD DEL PERU S.A.C.;02955-20;SMLU6396921A;MANZANILLO;Estados Unidos;Estados Unidos;36541.24;LB;16575;KILOGRAMO;6.63;SAC;18740.83;0.51;20699.63;0.57;1944.8;16575;16575;CHEMTEX GLOBAL;S/M;COPOLIMERO S/M S/M 663  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER;COPOLIMERO S/M S/M 663  SACOS X 25 KG INSUMO PARA LA FABRICACION DE ENVASES PLASTICOS COPOLIMERO DE ALTA DENSIDAD, RESINA PLASTICA SINTETICA HIGH DENSITY COPOLYMER
