DUA;Item;Fecha;A駉;Importador;RUC;Regimen;C骴igo NCM;Aduana;V韆 Transporte;Nombre Transportista;Manifiesto;Conocimiento;Puerto de Embarque;Pa韘 de Origen;Pais de Procedencia;Cantidad Comercial;Unidad de Medida;Cant. VF;U.V.F.;Bultos;Tipo de Bulto;U$S FOB;U$S FOB Unit.;U$S CIF;U$S Unitario;U$S Flete;Kgs. Netos;Kgs. Brutos;Proveedor;Marca;Descripci髇 de Mercader韆;Descripci髇 para Filtro
172-002755;0001;04/01/2022;2022;SURPACK S.A.;4  20122720650;IMPORTACION DEFINITIVA;39021000;TACNA;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1131068;CARTAGENA;Colombia;Colombia;135000;KG;135000;KILOGRAMO;0;No disponible;249295;1.85;262333.5;1.94;12855;135000;136240;ESENTTIA S A NIT:800.059.470-5;ESENTTIA;POLIPROPILENO HOMOPOLIMERO, ESENTTIA, S/M LOTE: 121N1850A, 121N1851A, 121N1852A,  HOMOPOLIMERO 01H41 5400 BOLSAS DE 25 KG C/U;POLIPROPILENO HOMOPOLIMERO, ESENTTIA, S/M LOTE: 121N1850A, 121N1851A, 121N1852A,  HOMOPOLIMERO 01H41 5400 BOLSAS DE 25 KG C/U
118-002867;0001;04/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1131266;CARTAGENA;Colombia;Colombia;54000;KG;54000;KILOGRAMO;0;No disponible;104478;1.93;109751.54;2.03;5142;54000;55029.78;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO, HOMOPOLIMERO, 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A;RESINA DE POLIPROPILENO, HOMOPOLIMERO, 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A
118-003138;0001;05/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130599;CARTAGENA;Colombia;Colombia;81000;KG;81000;KILOGRAMO;0;No disponible;156789;1.94;164939.06;2.04;7664.85;81000;81886.66;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A
118-003138;0002;05/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130599;CARTAGENA;Colombia;Colombia;162000;KG;162000;KILOGRAMO;0;No disponible;313434;1.93;329878.14;2.04;15474.15;162000;163773.33;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A
235-003138;0001;05/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;AEREA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130599;CARTAGENA;Colombia;Colombia;81000;KG;81000;KILOGRAMO;0;No disponible;156789;1.94;164939.06;2.04;7664.85;81000;81886.66;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A
235-003138;0002;05/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;AEREA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1130599;CARTAGENA;Colombia;Colombia;162000;KG;162000;KILOGRAMO;0;No disponible;313434;1.93;329878.14;2.04;15474.15;162000;163773.33;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A
118-003330;0001;05/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1131258;CARTAGENA;Colombia;Colombia;27000;KG;27000;KILOGRAMO;0;No disponible;52239;1.93;54875.77;2.03;2571;27000;27410;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 11H01A HOMOPOLIMERO EN BOLSAS DE 25 KG. USO: INDUSTRIAL HOMOPOLIMERO 11H01A
118-003730;0001;05/01/2022;2022;ATLANTICA S.R.L.;4  20488011538;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRANSTOTAL AGENCIA MARITI;03087-21;001BAU3724;KAOHSIUNG;Taiw醤;Estados Unidos;125000;KG;125000;KILOGRAMO;0;No disponible;181650;1.45;238920.62;1.91;55000;125000;128375;FORMOSA CHEMICALS  FIBRE CORP.;TAIRIPRO;POLIPROPILENO HOMOPOLIMERO TAIRIPRO S1005 POLIPROPILENO HOMOPOLIMERO / RESINA SINTETICA VIRGEN PARA USO EN LA FABRICACION DE SACOS DE POLIPROPILENO EN 5000 BOLSAS x 25 KG C/U., ITEM CODE S1005 - PPH RAFFIA 5MI HOMO, INJECTION MOLD, LOTE:31B22AL-969190;POLIPROPILENO HOMOPOLIMERO TAIRIPRO S1005 POLIPROPILENO HOMOPOLIMERO / RESINA SINTETICA VIRGEN PARA USO EN LA FABRICACION DE SACOS DE POLIPROPILENO EN 5000 BOLSAS x 25 KG C/U., ITEM CODE S1005 - PPH R
019-003730;0001;05/01/2022;2022;ATLANTICA S.R.L.;4  20488011538;IMPORTACION DEFINITIVA;39021000;TUMBES;MARITIMO;TRANSTOTAL AGENCIA MARITI;03087-21;001BAU3724;KAOHSIUNG;Taiw醤;Estados Unidos;125000;KG;125000;KILOGRAMO;0;No disponible;181650;1.45;238920.62;1.91;55000;125000;127220;FORMOSA CHEMICALS  FIBRE CORP.;TAIRIPRO;POLIPROPILENO HOMOPOLIMERO TAIRIPRO S1005 POLIPROPILENO HOMOPOLIMERO / RESINA SINTETICA VIRGEN PARA USO EN LA FABRICACION DE SACOS DE POLIPROPILENO EN 5000 BOLSAS x 25 KG C/U., ITEM CODE S1005 - PPH RAFFIA 5MI HOMO, INJECTION MOLD, LOTE:31B22AL-969190;POLIPROPILENO HOMOPOLIMERO TAIRIPRO S1005 POLIPROPILENO HOMOPOLIMERO / RESINA SINTETICA VIRGEN PARA USO EN LA FABRICACION DE SACOS DE POLIPROPILENO EN 5000 BOLSAS x 25 KG C/U., ITEM CODE S1005 - PPH R
118-003879;0001;05/01/2022;2022;TUBERIAS Y GEOSISTEMAS DEL PERU SA - TUB;4  20517932346;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;03094-21;MEDUC1131100;CARTAGENA;Colombia;Colombia;216000;KG;216000;KILOGRAMO;0;No disponible;404952;1.87;426775.28;1.98;20568;216000;219270;ESENTTIA S A NIT:800.059.470-5;HOMOPOLIMERO;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 05H82-AV HOMOPOLIMERO EN BOLSAS DE 25 KG USO: INDUSTRIAL HOMOPOLIMERO 05H82-AV 05H82-AV . LOTES: 221D6207A.221N6161A.121D1917A;RESINA DE POLIPROPILENO. HOMOPOLIMERO. 05H82-AV HOMOPOLIMERO EN BOLSAS DE 25 KG USO: INDUSTRIAL HOMOPOLIMERO 05H82-AV 05H82-AV . LOTES: 221D6207A.221N6161A.121D1917A
118-004991;0001;06/01/2022;2022;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00015-22;HLCUSHA2110CAGG3;SHANGHAI;China;Francia;108;TM;108000;KILOGRAMO;0;No disponible;145976;1351.63;188100.7;1741.67;40300;108000;109450;HONGKONG TOPWAY TRADING CO.. LTD.;SNETOR;POLIPROPILENO. SNETOR. L5E89 REF : L5E89 SON : 4320 SACOS DE 25 KG / USO : INDUSTRIAL POLYPROPYLENE HOMOPOLYMER L5E89;POLIPROPILENO. SNETOR. L5E89 REF : L5E89 SON : 4320 SACOS DE 25 KG / USO : INDUSTRIAL POLYPROPYLENE HOMOPOLYMER L5E89
118-005103;0001;06/01/2022;2022;SNETOR PERU SOCIEDAD ANONIMA CERRADA - SNETOR PERU;4  20602505830;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00016-22;MEDUAD239953;ABU DHABI;Emiratos 羠abes Unidos;Austria;99;TM;99000;KILOGRAMO;0;No disponible;165346;1670.16;181776.82;1836.13;14364;99000;100640;BOROUGE PTE LTD..;BOREALIS;POLIPROPILENO. BOREALIS. RJ766MO REF: 2800186706 SON : 3960 SACOS DE 25 KG / USO : INDUSTRIAL RJ766MO BOROUGE BAG STANDARD 25/1375KG;POLIPROPILENO. BOREALIS. RJ766MO REF: 2800186706 SON : 3960 SACOS DE 25 KG / USO : INDUSTRIAL RJ766MO BOROUGE BAG STANDARD 25/1375KG
118-005217;0001;06/01/2022;2022;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03058-21;CLSCL0000003807;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;81220;1.59;90387.35;1.77;9050;51000;52175;PETROQUIM S.A.;S/M;POLIPROPILENO HOMOPOLIMERO, S/M, S/M PH0953-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, S/M, S/M PH0953-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO
118-005217;0002;06/01/2022;2022;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03058-21;CLSCL0000003807;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;81220;1.59;90387.35;1.77;9050;51000;52175;PETROQUIM S.A.;S/M;POLIPROPILENO HOMOPOLIMERO, S/M, S/M PH2615-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, S/M, S/M PH2615-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO
172-005217;0001;06/01/2022;2022;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39021000;TACNA;MARITIMO;TRABAJOS MARITIMOS S.A.;03058-21;CLSCL0000003807;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;81220;1.59;90387.35;1.77;9050;51000;52190;PETROQUIM S.A.;S/M;POLIPROPILENO HOMOPOLIMERO. S/M. S/M PH0953-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO. S/M. S/M PH0953-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO
172-005217;0002;06/01/2022;2022;POLINPLAST S.A.C.;4  20505520638;IMPORTACION DEFINITIVA;39021000;TACNA;MARITIMO;TRABAJOS MARITIMOS S.A.;03058-21;CLSCL0000003807;SAN VICENTE;Chile;Chile;51000;KG;51000;KILOGRAMO;0;No disponible;81220;1.59;90387.35;1.77;9050;51000;52190;PETROQUIM S.A.;S/M;POLIPROPILENO HOMOPOLIMERO. S/M. S/M PH2615-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO. S/M. S/M PH2615-P1500 SANITIZADO EN BOLSAS DE 25 KG POLIPROPILENO HOMOPOLIMERO
118-005226;0001;06/01/2022;2022;CO. ESTRELLA DEL PERU E.I.R.L;4  20340319169;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;MEDITERRANEAN SHIPPING CO;00090-22;MEDUC1132959;CARTAGENA;Colombia;Colombia;135000;KG;135000;KILOGRAMO;0;No disponible;257395;1.91;273467.43;2.03;12855;135000;136720;ESENTTIA S A;S/M;HOMOLOPIMERO. S/M. S/M HOMOPOLIMERO 18H86 BOLSAS 25G  HOMOLOPIMERO;HOMOLOPIMERO. S/M. S/M HOMOPOLIMERO 18H86 BOLSAS 25G  HOMOLOPIMERO
118-005430;0001;06/01/2022;2022;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03057-21;SUDU61SSZ160168X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;48502.19;1959.68;51201.17;2068.73;2663.68;24750;25266;BRASKEM SA UN III POLO PETROQUIMI;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO
118-005430;0002;06/01/2022;2022;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03057-21;SUDU61SSZ160168X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;48502.19;1959.68;51201.17;2068.73;2663.68;24750;25266;BRASKEM SA UN III POLO PETROQUIMI;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO
118-005430;0003;06/01/2022;2022;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03057-21;SUDU61SSZ160168X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;48502.19;1959.68;51201.17;2068.73;2663.68;24750;25266;BRASKEM SA UN III POLO PETROQUIMI;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO
118-005430;0004;06/01/2022;2022;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03057-21;SUDU61SSZ160168X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;48502.19;1959.68;51201.17;2068.73;2663.68;24750;25266;BRASKEM SA UN III POLO PETROQUIMI;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO
118-005430;0005;06/01/2022;2022;LINEA PLASTICA PERU S.A.;4  20521679574;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;TRABAJOS MARITIMOS S.A.;03057-21;SUDU61SSZ160168X;RIO GRANDE;Brasil;Brasil;24.75;TM;24750;KILOGRAMO;0;No disponible;48502.19;1959.68;51201.17;2068.73;2663.68;24750;25266;BRASKEM SA UN III POLO PETROQUIMI;BRASKEM;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO;POLIPROPILENO HOMOPOLIMERO, BRASKEM, S/M CODIGO PH 0130 PL14 18 PALETAS  CON 990 BOLSAS DE 25 KG C/U PH 0130 - POLIPROPILENO HOMOPOLIMERO
118-005519;0001;06/01/2022;2022;FITESA PERU S.A.C.;4  20451558383;IMPORTACION DEFINITIVA;39021000;MARITIMA DEL CALLAO;MARITIMO;IAN TAYLOR PERU S.A.C;03137-21;WEB211307861;LAEM CHABANG;Tailandia;Tailandia;96;TM;96000;KILOGRAMO;0;No disponible;125856;1311;179919.68;1874.16;54000;96000;98176;IRPC PUBLIC COMPANY LIMITED;S/M;POLIPROPILENO S/M S/M ----- USO INDUSTRIAL PP GRADE 1105SC EN 128 BOLSAS DE 750 KG. C/U X 64 PALLET;POLIPROPILENO S/M S/M ----- USO INDUSTRIAL PP GRADE 1105SC EN 128 BOLSAS DE 750 KG. C/U X 64 PALLET
